gene,pathway
VCAN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
PFKFB3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
AK4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
ANG,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
DCN,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
HS6ST2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
SLC2A5,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
ATP6V0D2,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
SLC2A4,HALLMARK_OXIDATIVE_PHOSPHORYLATION
OGDHL,HALLMARK_OXIDATIVE_PHOSPHORYLATION
PHYH,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP6V0D2,HALLMARK_OXIDATIVE_PHOSPHORYLATION
CKMT1B,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ATP6V1B1,HALLMARK_OXIDATIVE_PHOSPHORYLATION
ANG,HALLMARK_OXIDATIVE_PHOSPHORYLATION
B3GNT3,HALLMARK_OXIDATIVE_PHOSPHORYLATION
DCN,HALLMARK_OXIDATIVE_PHOSPHORYLATION
HS6ST2,HALLMARK_OXIDATIVE_PHOSPHORYLATION
NDST3,HALLMARK_OXIDATIVE_PHOSPHORYLATION
G6PC,HALLMARK_XENOBIOTIC_METABOLISM
ALDOB,HALLMARK_XENOBIOTIC_METABOLISM
PKLR,HALLMARK_XENOBIOTIC_METABOLISM
ADH1B,HALLMARK_XENOBIOTIC_METABOLISM
PFKFB3,HALLMARK_XENOBIOTIC_METABOLISM
AK4,HALLMARK_XENOBIOTIC_METABOLISM
ANG,HALLMARK_XENOBIOTIC_METABOLISM
DCN,HALLMARK_XENOBIOTIC_METABOLISM
HS6ST2,HALLMARK_XENOBIOTIC_METABOLISM
MIOX,HALLMARK_XENOBIOTIC_METABOLISM
TGFA,HALLMARK_XENOBIOTIC_METABOLISM
SLC2A5,HALLMARK_XENOBIOTIC_METABOLISM
ATP12A,HALLMARK_XENOBIOTIC_METABOLISM
MAOB,HALLMARK_XENOBIOTIC_METABOLISM
MGST1,HALLMARK_XENOBIOTIC_METABOLISM
VCAN,HALLMARK_COAGULATION
ALDOB,HALLMARK_COAGULATION
PFKFB3,HALLMARK_COAGULATION
AK4,HALLMARK_COAGULATION
ANG,HALLMARK_COAGULATION
DCN,HALLMARK_COAGULATION
HS6ST2,HALLMARK_COAGULATION
MIOX,HALLMARK_COAGULATION
TGFA,HALLMARK_COAGULATION
SLC2A5,HALLMARK_COAGULATION
MGST1,HALLMARK_COAGULATION
G6PC,HALLMARK_KRAS_SIGNALING_DN
ALDOB,HALLMARK_KRAS_SIGNALING_DN
PKLR,HALLMARK_KRAS_SIGNALING_DN
ADH1B,HALLMARK_KRAS_SIGNALING_DN
PFKFB3,HALLMARK_KRAS_SIGNALING_DN
AK4,HALLMARK_KRAS_SIGNALING_DN
ANG,HALLMARK_KRAS_SIGNALING_DN
B3GNT3,HALLMARK_KRAS_SIGNALING_DN
DCN,HALLMARK_KRAS_SIGNALING_DN
HS6ST2,HALLMARK_KRAS_SIGNALING_DN
MIOX,HALLMARK_KRAS_SIGNALING_DN
TGFA,HALLMARK_KRAS_SIGNALING_DN
SLC2A5,HALLMARK_KRAS_SIGNALING_DN
ATP12A,HALLMARK_KRAS_SIGNALING_DN
MAOB,HALLMARK_KRAS_SIGNALING_DN
VCAN,HALLMARK_IL6_JAK_STAT3_SIGNALING 
SLC2A5,HALLMARK_IL6_JAK_STAT3_SIGNALING 
